st clair,illinois,5075
o'brien,iowa,4993
st bernard,louisiana,5189
st james,louisiana,5207
st john the baptist,louisiana,5189
west feliciana,louisiana,5177
anne arundel,maryland,2247
baltimore,maryland,2247
carroll,maryland,2247
harford,maryland,2247
howard,maryland,2247
queen anne's,maryland,3015
st mary's,maryland,4279
lake of the woods,minnesota,4955
silver bow,montana,5399
strafford,new hampshire,4017
monmouth,new jersey,2351
ocean,new jersey,2351
debaca,new mexico,5453
san miguel,new mexico,5451
golden valley,north dakota,5381
dewitt,texas,2521
james city,virginia,4341
